PromptId,Phase,RunWindow,Title,PromptPath,NextPromptPath,Focus
R001,Remediation,Pre-P064,"ERP V2 architecture rebaseline, cutover guardrails, and preservation rules","/04-remediation/prompts/R001_erp-v2-architecture-rebaseline-cutover-guardrails.md","/04-remediation/prompts/R002_master-data-v2-canonical-domain-map.md","Rebaseline rules, prompt cut line, keep/patch/replace boundaries"
R002,Remediation,Pre-P064,"Master Data V2 canonical domain map","/04-remediation/prompts/R002_master-data-v2-canonical-domain-map.md","/04-remediation/prompts/R003_item-and-catalog-v2-schema.md","Canonical aggregates, key identities, compatibility strategy"
R003,Remediation,Pre-P064,"Item and catalog V2 schema","/04-remediation/prompts/R003_item-and-catalog-v2-schema.md","/04-remediation/prompts/R004_item-packaging-barcode-variant-reference-v2-schema.md","Item media, texts, catalog separation, product documents"
R004,Remediation,Pre-P064,"Item packaging, barcode, variant, and reference V2 schema","/04-remediation/prompts/R004_item-packaging-barcode-variant-reference-v2-schema.md","/04-remediation/prompts/R005_customer-contact-credit-terms-v2-schema.md","Packaging hierarchy, advanced barcodes, aliases, customer and vendor item references"
R005,Remediation,Pre-P064,"Customer, contact, credit, and terms V2 schema","/04-remediation/prompts/R005_customer-contact-credit-terms-v2-schema.md","/04-remediation/prompts/R006_supplier-compliance-and-reference-v2-schema.md","Legal entity vs site split, contacts, contact points, consent, credit, dispatch preferences"
R006,Remediation,Pre-P064,"Supplier compliance and reference V2 schema","/04-remediation/prompts/R006_supplier-compliance-and-reference-v2-schema.md","/04-remediation/prompts/R007_pricing-discount-tax-currency-v2-schema.md","Supplier depth, compliance, terms, preferred-item and vendor reference modeling"
R007,Remediation,Pre-P064,"Pricing, discount, tax, and currency V2 schema","/04-remediation/prompts/R007_pricing-discount-tax-currency-v2-schema.md","/04-remediation/prompts/R008_replenishment-and-planning-input-v2-schema.md","Price lists, discount rules, currency, tax, trade terms, UOM-aware pricing"
R008,Remediation,Pre-P064,"Replenishment and planning-input V2 schema","/04-remediation/prompts/R008_replenishment-and-planning-input-v2-schema.md","/04-remediation/prompts/R009_platform-extensibility-template-and-localization-v2-schema.md","Replenishment policy, packaging-aware planning inputs, scope verification anchors"
R009,Remediation,Pre-P064,"Platform extensibility, template, and localization V2 schema","/04-remediation/prompts/R009_platform-extensibility-template-and-localization-v2-schema.md","/04-remediation/prompts/R010_costing-and-landed-cost-foundation-architecture.md","UDF metadata, document templates, localization verification, setup integrity"
R010,Remediation,Pre-P064,"Costing and landed-cost foundation architecture","/04-remediation/prompts/R010_costing-and-landed-cost-foundation-architecture.md","/04-remediation/prompts/R011_sql-migration-pack-and-cutover-strategy.md","Cost model, job-cost hooks, landed-cost extension points, future return hooks"
R011,Remediation,Pre-P064,"SQL migration pack and cutover strategy","/04-remediation/prompts/R011_sql-migration-pack-and-cutover-strategy.md","/04-remediation/prompts/R012_ef-domain-contract-refactor-plan.md","Ordered DDL, migration packs, stored procedure inventory realignment"
R012,Remediation,Pre-P064,"EF, domain, and contract refactor plan","/04-remediation/prompts/R012_ef-domain-contract-refactor-plan.md","/04-remediation/prompts/R013_backend-master-and-commercial-remediation-wave.md","DbContext, mappings, DTO cutover, compatibility adapters"
R013,Remediation,Pre-P064,"Backend master and commercial remediation wave","/04-remediation/prompts/R013_backend-master-and-commercial-remediation-wave.md","/02-prompts/P064_production-receipt-scrap-and-rework-apis.md","Patch item, partner, commercial, planning, and platform APIs before resuming original backend chain"
R014,Remediation,Post-Foundation,"Landed-cost implementation wave","/04-remediation/prompts/R014_landed-cost-implementation-wave.md","/04-remediation/prompts/R015_returns-backorder-drop-ship-foundation.md","Deferred landed-cost schema and API implementation after foundation stabilization"
R015,Remediation,Post-Foundation,"Returns, backorder, and drop-ship foundation","/04-remediation/prompts/R015_returns-backorder-drop-ship-foundation.md","/04-remediation/prompts/R016_document-and-print-template-implementation-wave.md","Deferred reverse-logistics and alternate fulfillment flows"
R016,Remediation,Post-Foundation,"Document and print-template implementation wave","/04-remediation/prompts/R016_document-and-print-template-implementation-wave.md","/04-remediation/prompts/R017_costing-and-job-cost-rollup-implementation-wave.md","Deferred print-template framework and render-job implementation"
R017,Remediation,Post-Foundation,"Costing and job-cost rollup implementation wave","/04-remediation/prompts/R017_costing-and-job-cost-rollup-implementation-wave.md","/02-prompts/P138_email-sms-and-whatsapp-provider-abstractions.md","Deferred cost execution and profitability reporting after foundation stabilization"
