Screen,CurrentProblems,AppliedGlobalComponents,LookupFieldsEnforced,DeadActionsFixed,ModalOrEditorPattern,RemainingGaps,Status
Items,"Old setup badge wording could read as an implementation/source indicator; remaining media action needed clear deferred state.","ErpActionBar; ErpFilterBar; ErpGrid; ErpStatusChip; ErpModalWorkspace; ErpValidationSummary; ErpLookupField; ErpEmptyState","Item type; lifecycle/status; item group/category; stock UOM; make/buy/subcontract; traceability; default warehouse; reorder policy; measurement profile; packaging UOM","Import/export/catalog preview/upload actions are disabled or routed through implemented draft/profile behavior with business-safe reasons.","Centered ErpModalWorkspace deep item editor","Media binary upload and full reference-master selection remain future work.",PARTIAL
Item Groups,"List used governed visual shell but needed shared action/filter/grid pattern and modal workspace consistency.","ErpActionBar; ErpFilterBar; ErpGrid; ErpStatusChip; ErpModalWorkspace","Status controlled by select filter; group detail remains current-record controlled","New draft and export actions disabled with business-safe reasons.","Centered ErpModalWorkspace detail workspace","Create/save endpoint remains deferred to master-data workflow.",PARTIAL
Item Attributes,"List/detail needed governed action grouping, compact filters, aligned chips, and modal workspace.","ErpActionBar; ErpFilterBar; ErpGrid; ErpStatusChip; ErpModalWorkspace","Attribute status controlled by select filter","New draft and export actions disabled with business-safe reasons.","Centered ErpModalWorkspace detail workspace","Attribute value editing remains read-oriented until mutation endpoint exists.",PARTIAL
Reason Codes,"Reason detail allowed category/module as form text instead of a controlled lookup.","ErpActionBar; ErpFilterBar; ErpGrid; ErpStatusChip; ErpModalWorkspace; ErpLookupField","Reason code category/type","New draft and export actions disabled with business-safe reasons.","Centered ErpModalWorkspace detail workspace","Dedicated reason-code save endpoint remains deferred.",PARTIAL
Item Variants,"Variant editor needed item/template selector and governed modal/action patterns.","ErpActionBar; ErpFilterBar; ErpGrid; ErpStatusChip; ErpModalWorkspace; ErpLookupField","Variant item/template selector","New draft and export actions disabled with business-safe reasons.","Centered ErpModalWorkspace detail workspace","Variant mutation workflow and attribute-value source are not complete.",PARTIAL
Barcodes,"Barcode editor needed item selector and dead create/export actions clearly gated.","ErpActionBar; ErpFilterBar; ErpGrid; ErpStatusChip; ErpModalWorkspace; ErpLookupField","Barcode item selector","New draft and export actions disabled with business-safe reasons.","Centered ErpModalWorkspace detail workspace","Barcode creation and print-template integration remain deferred.",PARTIAL
Customers,"Customer list/detail looked too shallow and used a right-side drawer for a deep master editor.","ErpActionBar; ErpFilterBar; ErpGrid; ErpStatusChip; ErpModalWorkspace; ErpLookupField; ErpEmptyState","Customer type; lifecycle status; payment terms","New customer draft, export, save, and audit actions disabled with business-safe reasons.","Centered ErpModalWorkspace with Core Info, Sites/Addresses, Contacts, Terms/Commercial, References, Documents, Audit/History","Full customer deep model, document storage, and mutation endpoints are future Wave 4B scope.",PARTIAL
Suppliers,"Supplier list/detail looked too shallow and used a right-side drawer for a deep master editor.","ErpActionBar; ErpFilterBar; ErpGrid; ErpStatusChip; ErpModalWorkspace; ErpLookupField; ErpEmptyState","Supplier type; lifecycle status; payment terms","New supplier draft, export, save, and audit actions disabled with business-safe reasons.","Centered ErpModalWorkspace with Core Info, Sites/Addresses, Contacts, Terms/Commercial, References, Documents, Audit/History","Full supplier deep model, document storage, approved supplier list, and mutation endpoints are future Wave 4C scope.",PARTIAL
Supplier Lead Times,"Lead-time matrix needed governed action/filter/grid layout and controlled item/supplier/policy selectors.","ErpActionBar; ErpFilterBar; ErpGrid; ErpStatusChip; ErpModalWorkspace; ErpLookupField","Supplier lead-time item selector; supplier; order policy","New lead-time row, export, save, and audit actions disabled with business-safe reasons.","Centered ErpModalWorkspace detail workspace","Supplier display still uses available ID labels where supplier-name lookup is not hydrated by this endpoint.",PARTIAL
UOM Classes,"UOM class editor used a free-text base UOM and non-governed action/filter/grid patterns.","ErpActionBar; ErpFilterBar; ErpGrid; ErpStatusChip; ErpModalWorkspace; ErpLookupField","Base UOM","New class draft, export, save, and audit actions disabled with business-safe reasons.","Centered ErpModalWorkspace detail workspace","Create/save endpoint remains deferred to measurement setup workflow.",PARTIAL
UOM Conversions,"Conversion editor used free-text UOM fields and needed governed layout.","ErpActionBar; ErpFilterBar; ErpGrid; ErpStatusChip; ErpModalWorkspace; ErpLookupField","From UOM; To UOM","New conversion draft, export, save, and audit actions disabled with business-safe reasons.","Centered ErpModalWorkspace detail workspace","Conversion mutation endpoint remains deferred to measurement setup workflow.",PARTIAL
Measurement Profiles,"Measurement profile editor needed controlled UOM class selection and governed list/detail layout.","ErpActionBar; ErpFilterBar; ErpGrid; ErpStatusChip; ErpModalWorkspace; ErpLookupField","Stock UOM class","New measurement profile, export, save, and audit actions disabled with business-safe reasons.","Centered ErpModalWorkspace detail workspace","Formula editing and profile mutation remain deferred to measurement setup workflow.",PARTIAL
