"Area","ScreenOrEndpoint","Category","BaselineStatus","FinalStatus","FixApplied","RemainingDependency"
"Runtime","/api/health/live","API health","COMPLETE","COMPLETE","Verified through Runtime UAT probe and validation run","None"
"Runtime","/api/health/ready","API health","COMPLETE","COMPLETE","Verified readiness and SQL/attachment health entries through Runtime UAT probe","None"
"Runtime","/api/system/context","Authenticated context","COMPLETE","COMPLETE","Added Runtime UAT context probe for company/branch/user visibility","None"
"Runtime","/api/system/info","Content truth","PARTIAL","COMPLETE","Removed scaffold wording from system info response","None"
"Role Access","UAT bootstrap identities","Seed truth","PARTIAL","COMPLETE","Added backend test coverage for all runtime UAT roles in AuthServiceTests","Full role workflow acceptance remains partial outside runtime login"
"Data Truth","/platform/notifications","Live data truth","COMPLETE","COMPLETE","Runtime UAT probe verifies notification API result or explicit failure state without silent baseline rows","Notification workflow depth remains partial"
"Data Truth","/platform/approvals","Live data truth","COMPLETE","COMPLETE","Runtime UAT probe verifies approval API result or explicit failure state without silent baseline rows","Approval workflow depth remains partial"
"API Probe","Dashboard/planning/procurement/inventory/production/quality/dispatch reads","Runtime smoke","PARTIAL","COMPLETE","Added role-aware Runtime UAT probes for representative completed-scope endpoints","Write lifecycle proof remains outside WS01"
"UAT Baseline","DEMO-LOT-001 traceability","Seed proof","COMPLETE","COMPLETE","Runtime UAT probe verifies lot traceability endpoint","Ledger-depth reconciliation remains outside WS01"
"UAT Baseline","PK-UAT-0001 print proof","Seed proof","COMPLETE","COMPLETE","Runtime UAT probe verifies pack-list print endpoint","Template governance depth remains outside WS01"
"Deployment","IIS publish folder path","Publish truth","PARTIAL","COMPLETE","Added root npm validation shim and Runtime UAT page documents publish-folder-only deployment path","Live IIS deployment operation remains operator-controlled"
"Web Screen","/platform/runtime-uat","Evidence console","MISSING","COMPLETE","Added searchable/filterable Runtime UAT screen with governed filters, centered detail modal, truthful actions, and CSV export","None"
