"ProbeId","Area","Role","Target","ExpectedState","FinalState","Evidence"
"runtime-live-health","Runtime","All roles","/api/health/live","PASS or explicit failure","PASS","Runtime UAT probe calls live health endpoint"
"runtime-ready-health","Runtime","All roles","/api/health/ready","PASS or explicit failure","PASS","Runtime UAT probe calls ready health endpoint"
"runtime-auth-context","Runtime","All roles","/api/system/context","PASS or explicit failure","PASS","Runtime UAT probe resolves authenticated company and branch context"
"runtime-notification-truth","Runtime","All roles","/api/notifications","Live rows or explicit failure","PASS","Probe and test verify API failure becomes FAIL evidence instead of silent baseline rows"
"runtime-approval-truth","Runtime","All roles","/api/approvals","Live rows or explicit failure","PASS","Probe verifies approval queue reads without UI baseline fallback"
"api-order-delivery","API Probe","SalesCoordinator","/api/dashboards/order-delivery","PASS or explicit failure","PASS","Runtime UAT probe covers sales/dashboard smoke"
"api-mrp","API Probe","PlanningManager","/api/mrp","PASS or explicit failure","PASS","Runtime UAT probe covers planning smoke"
"api-purchase-orders","API Probe","PurchaseManager","/api/purchase-orders","PASS or explicit failure","PASS","Runtime UAT probe covers procurement smoke"
"api-inventory-balances","API Probe","StoreKeeper","/api/inventory","PASS or explicit failure","PASS","Runtime UAT probe covers inventory smoke"
"api-job-cards","API Probe","ProductionSupervisor","/api/job-cards","PASS or explicit failure","PASS","Runtime UAT probe covers production smoke"
"api-quality-inspections","API Probe","QCInspector","/api/quality/inspections","PASS or explicit failure","PASS","Runtime UAT probe covers quality smoke"
"api-pack-lists","API Probe","DispatchManager","/api/dispatch/pack-lists","PASS or explicit failure","PASS","Runtime UAT probe covers dispatch smoke"
"api-stage-wise","API Probe","PlantHead","/api/dashboards/stage-wise","PASS or explicit failure","PASS","Runtime UAT probe covers plant dashboard smoke"
"api-users","API Probe","PlatformAdmin","/api/users","PASS or explicit failure","PASS","Runtime UAT probe covers platform admin smoke"
"uat-lot-traceability","UAT Baseline","StoreKeeper","/api/traceability/lots/DEMO-LOT-001","PASS or explicit failure","PASS","Runtime UAT probe verifies traceability seed proof"
"uat-pack-print","UAT Baseline","DispatchManager","/api/reports/pack-lists/95001/print","PASS or explicit failure","PASS","Runtime UAT probe verifies dispatch print proof"
