"Screen","Route","Action","BaselineState","FinalState","Evidence","ReasonIfDisabled"
"Cycle Count","/inventory/cycle-counts","New count sheet","DISABLED WITH REASON","DISABLED WITH REASON","src/web/src/pages/OperationsPages.tsx; docs/codex-review-screens/WS06/cycle-counts-top.png","New count generation requires approved warehouse count rules; existing live count sheets can be saved and posted."
"Cycle Count","/inventory/cycle-counts","Save count sheet","MISSING OR DISABLED","WORKING OR DISABLED WITH REASON","src/web/src/pages/OperationsPages.tsx; src/web/src/api/http.ts; src/web/src/pages/WS06InventoryQualityDispatchDocuments.test.tsx","Works in live authenticated sessions through /api/cycle-counts/{id}; disabled in demo/no-live or invalid status states."
"Cycle Count","/inventory/cycle-counts","Post count","MISSING OR DISABLED","WORKING OR DISABLED WITH REASON","src/web/src/pages/OperationsPages.tsx; src/web/src/api/http.ts","Works in live authenticated sessions through /api/cycle-counts/{id}/post; disabled in demo/no-live or already posted states."
"Inspection","/quality/incoming-inspections; /quality/in-process-inspections; /quality/final-inspections","New inspection","DISABLED WITH REASON","DISABLED WITH REASON","src/web/src/pages/QualityPages.tsx","Inspection creation requires quality execution workflow enablement."
"Inspection","/quality/incoming-inspections; /quality/in-process-inspections; /quality/final-inspections","Apply hold","DISABLED WITH REASON","WORKING OR DISABLED WITH REASON","src/web/src/pages/QualityPages.tsx; src/web/src/api/http.ts; src/web/src/pages/WS06InventoryQualityDispatchDocuments.test.tsx","Works in live authenticated sessions through /api/quality/inspections/{id}/hold; disabled when the inspection state cannot be held."
"Inspection","/quality/incoming-inspections; /quality/in-process-inspections; /quality/final-inspections","Release hold","DISABLED WITH REASON","WORKING OR DISABLED WITH REASON","src/web/src/pages/QualityPages.tsx; src/web/src/api/http.ts; src/web/src/pages/WS06InventoryQualityDispatchDocuments.test.tsx","Works in live authenticated sessions through /api/quality/inspections/{id}/release; disabled unless held or failed."
"Inspection","/quality/incoming-inspections; /quality/in-process-inspections; /quality/final-inspections","Save inspection","DISABLED WITH REASON","DISABLED WITH REASON","src/web/src/pages/QualityPages.tsx","Inspection result entry requires mobile execution workflow enablement; hold and release decisions are available here."
"NCR / Deviation","/quality/ncr","New NCR","DISABLED WITH REASON","DISABLED WITH REASON","src/web/src/pages/QualityPages.tsx","NCR creation requires quality workflow enablement."
"NCR / Deviation","/quality/ncr","Close NCR","MISSING OR DISABLED","WORKING OR DISABLED WITH REASON","src/web/src/pages/QualityPages.tsx; src/web/src/api/http.ts; src/web/src/pages/WS06InventoryQualityDispatchDocuments.test.tsx","Works in live authenticated sessions through /api/quality/ncrs/{id}/close; disabled for demo/no-live or already closed records."
"NCR / Deviation","/quality/ncr","Release disposition","DISABLED WITH REASON","DISABLED WITH REASON","src/web/src/pages/QualityPages.tsx","Disposition release requires quality approval workflow."
"Pack List","/dispatch/pack-lists","Create pack list","DISABLED WITH REASON","DISABLED WITH REASON","src/web/src/pages/DispatchPages.tsx","Pack-list creation requires dispatch workflow enablement."
"Pack List","/dispatch/pack-lists","Save pack list","DISABLED WITH REASON","DISABLED WITH REASON","src/web/src/pages/DispatchPages.tsx","Pack-list save requires dispatch workflow enablement."
"Shipment / Delivery","/dispatch/shipments","Prepare shipment","DISABLED WITH REASON","DISABLED WITH REASON","src/web/src/pages/DispatchPages.tsx","Shipment preparation requires dispatch workflow enablement."
"Shipment / Delivery","/dispatch/shipments","Save proof status","MISSING","WORKING OR DISABLED WITH REASON","src/web/src/pages/DispatchPages.tsx; src/web/src/api/http.ts; src/web/src/pages/WS06InventoryQualityDispatchDocuments.test.tsx","Works in live authenticated sessions through /api/dispatch/shipments/{id}/proof; disabled in demo/no-live or invalid selected states."
"Shipment / Delivery","/dispatch/shipments","Load proof","WORKING OR DISABLED WITH REASON","WORKING OR DISABLED WITH REASON","src/web/src/pages/DispatchPages.tsx","Proof upload uses shared attachment upload for live shipment records and is disabled in demo/no-live sessions."
"Shipment / Delivery","/dispatch/shipments","Close shipment","DISABLED WITH REASON","DISABLED WITH REASON","src/web/src/pages/DispatchPages.tsx","Shipment close requires dispatch proof approval."
"Documents","/platform/attachments; /engineering/documents","Upload / download / link document","WORKING OR DISABLED WITH REASON","WORKING OR DISABLED WITH REASON","src/web/src/pages/CommercialPlanningPages.tsx; src/web/src/pages/EngineeringContinuationPages.tsx","Shared attachment workflow remains live-only and disabled with reasons where no live record is selected."
