"Area","APIOrDbObject","Status","Evidence","RemainingDependency"
"Purchase Requisitions","GET/POST/PUT/approve purchase requisition APIs","COMPLETE","Existing backend APIs are now consumed by web save/approve actions.","None."
"Purchase Requisitions","procurement.PurchaseRequisitions and Lines","COMPLETE","Existing tables retained; no destructive changes.","None."
"Purchase Orders","GET/POST/PUT/approve purchase order APIs","COMPLETE","Existing backend APIs are now consumed by web save/approve actions.","None."
"Purchase Orders","procurement.PurchaseOrders and Lines","COMPLETE","Existing tables retained; no destructive changes.","None."
"Subcontract Orders","GET/POST/PUT/approve subcontract order APIs","COMPLETE","Existing backend APIs are now consumed by web save/approve actions.","None."
"Subcontract Orders","procurement.SubcontractOrders","COMPLETE","Existing table retained; no destructive changes.","None."
"RFQ / Supplier Quotes","RFQ and supplier quote APIs/tables","BLOCKED","No API/DB objects exist; not created as a speculative module.","Approved RFQ data model required."
"GRN / Receiving","GRN APIs/tables","BLOCKED","No API/DB objects exist; receiving actions disabled with reason.","Receiving and inventory posting design required."
"Purchase Invoice / Payment","AP invoice and payment APIs/tables","BLOCKED","Not introduced because AP/full accounting is outside V1.","Product owner scope change required."
"Vendor Returns / Claims","Vendor return APIs/tables","BLOCKED","No API/DB objects exist; not created as a speculative module.","Inventory/quality return-to-vendor design required."
"Landed Cost","Landed cost APIs/tables","BLOCKED","Not introduced because it affects valuation/accounting.","Inventory valuation and accounting scope decision required."
